docno,recency_score
9220147729207964700,1736846553.0
-5027025688630211379,1419759051.0
-6358407191342818358,1736869966.0
-2626241678476973568,1747573296.0
-4090051915862931792,1747664774.0
-3529743223388897889,1731423560.0
-9137054955954444045,1736586308.0
-453883864904914561,1737107979.0
1466871396281590505,1737098404.0
-3723895411061163517,1731423187.0
-6010309952016920367,1637161182.0
-8003821889217206522,1747403618.0
-5190887121369387277,1731347333.0
-5791161614471075604,1747655475.0
3600535204300316231,1746286411.0
7202234571994623214,1734104210.0
-8250575545453345517,1635449880.0
-36675422816756061,1747636314.0
-4318071525234675245,1736534393.0
-4516915543976117789,1747655562.0
-6850786497687791076,1731260288.0
5285244805650320151,1736831007.0
5755408883944793839,1747401278.0
-6965210667399222838,1747376637.0
7080582774052068630,1730976276.0
7794261589951212028,1607546744.0
519897515289619206,1419436282.0
5379073550189071848,1748439459.0
9141003242394318468,1736541818.0
-6760546484940761138,1731356712.0
8133096237242282614,1751615067.0
-3695877774166565788,1736534161.0
2352235212444420268,1730924490.0
2629740061780706026,1710506912.0
3669863071124743978,1731246267.0
-6726998191602707195,1419759051.0
7725573387263657512,1637161182.0
7240882125297970609,1741079868.0
-3023921215234480932,1747063839.0
-7561374223959999370,1749994105.0
5704867244585469660,1750259788.0
-9213488680947903750,1751611665.0
7885410330038457812,1751613327.0
-8571897970941731617,1730977093.0
4576527502395369660,1730481711.0
-8446111239918611432,1741079637.0
-3151266397983134179,1751614001.0
1693831853642560535,1731088843.0
44964767396745500,1635449880.0
2931596094881619540,1523542987.0
-779700212936857953,1749902656.0
-3295163179340578413,1750254208.0
-7248310387133854555,1414678532.0
7086969781499299786,1749905400.0
7130526232871208915,1750356119.0
1859419009930246846,1720773313.0
8909371886344162742,1741598390.0
4454279568297322153,1730942751.0
4862460169651165604,1731161378.0
-465686910868142183,1721582950.0
6079074811131314682,1730751712.0
-2462066729095095472,1749832543.0
-7846903313631628060,1730183391.0
-4287490975350983576,1416334780.0
-3761063756891534096,1612974069.0
2171481448193486748,1748975908.0
4337162455044693147,1745993838.0
842445982514846051,1730972814.0
-3165912118897812768,1742816444.0
1607705384415276132,1743273539.0
-6605846657603989091,1731014242.0
5928850599055764598,1745746051.0
9121051053552668856,1747224333.0
-7156065657751098317,1730979432.0
-8042150696311068539,1729761447.0
-1348574518414858950,1731051247.0
-1189793158515549710,1748951841.0
1313588383881391952,1357921345.0
-8673277533115556074,1523476301.0
-3593783605610819117,1744825386.0
-4190933211416802585,1742559725.0
9216643794758145825,1744906985.0
2990782284365160628,1750068909.0
-8839327580049529607,1741284019.0
8192715996224402275,1746723558.0
7465839974274098750,1746866305.0
2131229487579921079,1749060004.0
1266524267621301343,1391684061.0
-7448090185068102182,1751606936.0
-6886287292556867871,1745935500.0
-3233513454369237590,1406716200.0
-5992013153186671088,1736437852.0
8712149134086402537,1747567980.0
-7886491728753358236,1728505797.0
-6613678684518184899,1747310561.0
4713837372676795930,1746778808.0
8217829885166960919,1744827494.0
-1740625957150825994,1612974069.0
921574822324769937,1751572500.0
4046832686138086489,1744629102.0
5494346296398525875,1744462103.0
-8253758914315999,1746173595.0
6314942398338315149,1747072740.0
8731688829226547029,1749033474.0
4133423223446960859,1725988083.0
5451926817177774781,1750154829.0
-3420903602179019603,1750620554.0
1531145208044625579,1744884746.0
5343508409173937214,1386027811.0
-7765901291829554355,1707211316.0
3653966067745705797,1720539852.0
1582265077846216172,1716024448.0
2232499396779422300,1751199130.0
-4354195116507398478,1744550700.0
4229826118653144256,1666707866.0
-1481986255840087034,1743427560.0
3431233255059196795,1747211899.0
-8277975984889772934,1664308770.0
1728925386940761020,1519981802.0
-3921791306403961179,1388580566.0
5673444444380959834,1741714978.0
745853390163463579,1745398511.0
1818328441640024776,1685263690.0
7701933110526786473,1744554402.0
-193337172450974692,1733146179.0
1211518320776621601,1748711697.0
-5446886558275125147,1718889986.0
-117446861174842480,1394391471.0
-5337733952768369337,1597076804.0
2817184593026142382,1706610145.0
-1611002253162684718,1708778705.0
-3895587972151728247,1723119052.0
8366011735933080240,1741597590.0
-2033661315332288163,1736425860.0
-4875811336160110593,1592573454.0
-5206771501844758218,1741496839.0
6211352787097989630,1356586042.0
5794430751694139908,1748445599.0
7884916674165248534,1723458437.0
4228832326760348801,1723535212.0
8595228453282958950,1519981802.0
-3164491659194968443,1723107260.0
-1921990992360622375,1741534013.0
-7848069750079363368,1697789700.0
-8322454316124451945,1708861390.0
-8316890428608587200,1698347211.0
177459037627454831,1388324941.0
-6107089212717747387,1383057212.0
-5486773725320695560,1718780630.0
278857891086094810,1660204578.0
-1410223763991387897,1736434822.0
2287315818065624962,1736415568.0
-7183691675654911303,1737572338.0
-5037774344704576115,1721912587.0
-4077270067155939801,1388580566.0
-1357244298658769529,1741469040.0
-7687874817467568361,1691954747.0
-2673945030372528495,1705762449.0
7263325736716561434,1352724363.0
6450532856011478096,1706700055.0
6846517746565291311,1384087451.0
9108003938960799590,1730703120.0
2456587438907208488,1741496479.0
5823002306099606269,1736434453.0
8592740548696183421,1730718000.0
-2895312270646099199,1693893630.0
-3140886754641319827,1383025635.0
-6622441981701413614,1688940227.0
8303390915645907789,1660131315.0
2624777234986029731,1741451460.0
5167225026074918766,1388324941.0
-3664032205037445471,1374515314.0
415612850384958866,1382948369.0
-1415719149125240652,1676193550.0
-9085070965031655831,1696434054.0
